,Words_from_image,number of image
0,koilk,0
1,koko,1
2,None,2
3,None,3
4,None,4
5,None,5
6,None,6
7,None,7
8,None,8
9,None,9
10,None,10
11,None,11
12,None,12
13,None,13
14,None,14
15,None,15
16,None,16
17,None,17
18,None,18
19,None,19
20,None,20
21,None,21
22,None,22
23,None,23
24,None,24
25,None,25
26,None,26
27,None,27
28,None,28
29,None,29
30,None,30
31,None,31
32,None,32
33,None,33
34,None,34
35,None,35
36,None,36
37,None,37
38,None,38
39,None,39
40,None,40
41,None,41
42,None,42
43,None,43
44,None,44
45,None,45
46,None,46
47,None,47
48,None,48
49,None,49
50,None,50
51,None,51
52,None,52
53,None,53
54,None,54
55,None,55
56,None,56
57,None,57
58,None,58
59,None,59
60,None,60
61,None,61
62,None,62
63,None,63
64,None,64
65,None,65
66,None,66
